DateTime,Cryptopunks,Azuki,Bored Ape Yacht Club,CloneX,Pudgy Penguins
2022-06-28,78843.51293381037,9466.74076591512,46199.567095448794,14311.645655088361,676.0949280575541
2022-06-29,79665.1690596745,9625.781758934829,45662.067850821746,14098.031004842614,662.3544146341463
2022-06-30,79490.6868852459,9681.429048128342,44003.79728635204,13951.175971049459,645.4468854415275
2022-07-01,79265.3133759124,9722.195866425993,43070.75498054475,13773.65301615799,635.6087922705314
2022-07-02,78914.38911231884,9881.040142283839,42668.29698113207,13593.514838129497,611.8401435406698
2022-07-03,65016.32467635403,10025.880553709856,42131.22812194327,13444.671781818182,623.1491573729863
2022-07-04,63863.92488431877,10107.722247399703,41893.11528258739,13343.569009063445,626.0791911764705
2022-07-05,64308.48194337194,9951.00019872516,41444.31939649578,13245.39929594272,602.1522909090909
2022-07-06,64499.228275418274,10327.065040808395,40281.093096005156,13106.9305326152,580.3079930394431
2022-07-07,64375.74727155727,10253.972427790788,39365.180611533586,13107.47446757882,595.3044902634593
2022-07-08,64586.78825477707,9867.524596394984,39527.207629350894,13114.130500297795,634.678
2022-07-09,67126.3144848485,9440.99186868687,38039.66003610108,13020.85080741627,654.2185082304527
2022-07-10,68060.01067695962,9287.858209247648,37556.239066548886,12871.648814993954,678.9308519269777
2022-07-11,68330.06620567375,9441.195555555556,37139.49149236193,12718.238048477315,717.3156292026897
2022-07-12,70234.5409162896,9432.820825082508,36854.60401691948,12729.41658031088,741.6391162790699
2022-07-13,70453.642215973,9645.30894075404,37577.999745682886,12952.809039172209,780.1862935928629
2022-07-14,71079.36181506849,9693.191674462114,37841.59945382324,13236.60601146601,803.316562721474
2022-07-15,76798.14103603603,9542.103599056603,38175.40165806674,13340.465377932233,992.9295585638612
2022-07-16,79028.15239035088,9282.23638700291,38043.71957751397,13355.714016544118,1055.2840165745856
2022-07-17,82465.62154419595,9051.005786350148,38257.07336048159,13492.793746369796,1115.0862735595047
2022-07-18,85105.02691142191,8834.128524507327,38720.25396613833,13683.527854984894,1150.5023864229763
2022-07-19,85370.41972797927,8751.856314168379,39016.292028404954,13880.28164467005,1165.0974117053481
2022-07-20,86045.22887837837,8653.380428954424,39337.942334818115,14026.59034957627,1213.6494328922497
2022-07-21,85956.61489740082,8539.386529445397,39618.71272929818,13967.91387755102,1150.6446311475408
2022-07-22,85072.96370725034,8604.832636419374,39795.83505952381,14026.882659685863,1088.1357649896624
2022-07-23,85322.49393103448,8575.173092269328,40035.796020903326,14053.038825995805,1105.5498432810937
2022-07-24,85642.95927475592,8184.532203926536,40277.14692540704,14006.277167019027,1113.2406525233043
2022-07-25,85526.31174894217,7982.439198982835,40384.75364737041,13948.160723140496,1117.1524204018547
2022-07-26,85648.67129682997,7997.032901785714,40177.19076251896,13733.997181818182,1112.0028419452888
2022-07-27,85702.67233093525,7968.009342693044,39488.83132218845,13721.421382441978,1096.0017421083978
